filename,title,description,attribution
52_cell_a_damw.jpg,JDB BMS BLE VESC EXPRESS BRIDGE,Monitor high voltage packs inexpensively,https://github.com/A-damW/JBD_BMS_BLE_VESC_EXPRESS_BRIDGE
rad_rod.png,Rad Rod AWD,Razor Ground Force Rad Rod AWD. VESC® based controllers at 8KW, https://www.youtube.com/watch?v=NEgMkoUbaqs
DemiLama.png,DemiLama,Creative artwork featuring our beloved LispBM mascot,https://www.instagram.com/pixiladyart/
cat_holiday_03.png,Holiday Cat Animation,2024 LispBM Holiday Challenge,https://github.com/laxsjo/
lbm-holiday-animation_04.png,LispBM Holiday Animation,2024 LispBM Holiday Challenge,https://github.com/r3n33
lispbm.jpeg,LispBM Logo,Official LispBM project logo and branding,https://www.instagram.com/pixiladyart/
lispbm_llama.png,Lispy the Llama,Our mascot Lispy the llama in all their glory,https://www.instagram.com/pixiladyart/
lisprunners.png,Lisp Runners,Dynamic visualization of Lisp processes in action,LispBM Project
lispwizaard.png,Lisp Wizard,The mystical Lisp Wizard conjuring code magic,LispBM Project
llamacouldron.jpg,Llama Cauldron,Brewing up some LispBM magic in the llama cauldron,https://www.instagram.com/pixiladyart/
xmas_lisp-2024-12-20_11.39.26_04.png,Snowflakes,2024 LispBM Holiday Challenge,https://github.com/svenssonjoel/
